"행정구역(시군)별(1)",2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007
"행정구역(시군)별(1)",세대수 (세대),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),세대수 (세대),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),세대수 (세대),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),가구수 (가구),가구수 (가구),보통가구(보급율 산정용) (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),보통가구(보급율 산정용) (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),보통가구(보급율 산정용) (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%)
"행정구역(시군)별(1)",소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,일반가구,1인가구,비혈연가구,소계,소계,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계
"서산시",50286,49394,28887,135,16293,1543,2536,1358,98.2,47864,48320,25234,186,18105,3221,1574,1352,101,48548,48636,25363,250,18121,3229,1673,1379,100.2,50380,10502,1107,38771,47398,23211,18571,2539,2269,808,122,38980,52626,23208,875,23634,2539,2435,810,135,39161,56374,23057,897,27170,2639,2451,1057,144
