"행정구역(시군)별(1)",2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012
"행정구역(시군)별(1)",일반가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),일반가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),일반가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),일반가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),일반가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%)
"행정구역(시군)별(1)",소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물 내 주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물 내 주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물 내 주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,비거주용건물 내 주택,소계,소계,소계,단독주택,다가구주택,아파트,연립주택,다세대주택,소계
"서산시",51585,61827,28502,6173,27170,2639,2459,1057,120,51945,62203,28844,6480,27170,2639,2483,1067,120,58274,57918,27002,8312,25920,2515,1744,737,99.4,60287,65343,20780,9590,28345,2764,2058,581,108.4,62068,68506,22197,11622,29610,2764,2313,110.4
