"행정구역(시군)별(1)",2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(시군)별(1)",가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%),가구수 (가구),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택수 (호),주택보급률 (%)
"행정구역(시군)별(1)",소계,소계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계,소계,소계,단독주택,단독주택_다가구주택,아파트,연립주택,다세대주택,비거주용 건물내주택,소계
"나주시",40506,41522,33063,7204,497,96,662,102.5,40506,41653,33178,7223,580,10,662,102.8,41172,42626,32885,8345,494,206,696,103.5,41277,43112,32856,2,8345,492,169,1250,104.4,41000,42843,32834,7,8345,492,209,963,104.5,40733,42889,32864,18,8345,492,217,971,105.3,41284,42905,32830,34,8401,492,217,965,103.9,40700,40993,31176,1282,8596,411,155,655,100.7,40841,42622,32531,668,8685,492,330,584,104.4,41274,47272,37066,817,9358,263,545,40,114.5,42886,45041,32947,1518,10723,247,513,611,105.0,46444,50030,32958,4060,14906,890,1276,-,107.7,52007,56762,31080,256,23519,492,601,1070,109.1,52303,55321,29558,2769,24093,556,482,632,105.8,54872,58133,29650,3019,27001,307,539,636,105.9,56090,58412,29840,3301,27134,291,539,608,104.1,58025,59643,29587,3578,28612,291,539,614,102.8
